"DISTRICT_CODE","DISTRICT_NAME","SCHOOL_CODE","SCHOOL_NAME","X_FREE_AND_REDUCED"
"40","BRIGHTON 27J","2399","EAGLE RIDGE ACADEMY","36.40"
"40","BRIGHTON 27J","2945","FOUNDATIONS ACADEMY","10.00"
"40","BRIGHTON 27J","3900","HENDERSON ELEMENTARY SCHOOL","46.40"
"40","BRIGHTON 27J","4950","LANDMARK ACADEMY AT REUNION","9.60"
"40","BRIGHTON 27J","5615","MARY E PENNOCK ELEMENTARY SCHOOL","38.60"
"40","BRIGHTON 27J","6294","NORTH ELEMENTARY SCHOOL","82.90"
"40","BRIGHTON 27J","6395","NORTHEAST ELEMENTARY SCHOOL","54.80"
"40","BRIGHTON 27J","6638","OVERLAND TRAIL MIDDLE SCHOOL","44.30"
"40","BRIGHTON 27J","6702","OTHO E STUART MIDDLE SCHOOL","32.10"
"40","BRIGHTON 27J","7129","PRAIRIE VIEW HIGH SCHOOL","33.30"
"40","BRIGHTON 27J","7131","PRAIRIE VIEW MIDDLE SCHOOL","37.50"
"40","BRIGHTON 27J","7714","SECOND CREEK ELEMENTARY SCHOOL","33.50"
"40","BRIGHTON 27J","8032","JOHN W THIMMIG ELEMENTARY SCHOOL","32.80"
"40","BRIGHTON 27J","8060","SOUTH ELEMENTARY SCHOOL","66.10"
"40","BRIGHTON 27J","8130","SOUTHEAST ELEMENTARY SCHOOL","48.20"
"40","BRIGHTON 27J","8820","TURNBERRY ELEMENTARY","24.20"
"40","BRIGHTON 27J","9230","VIKAN MIDDLE SCHOOL","53.20"
"40","BRIGHTON 27J","9426","WEST RIDGE ELEMENTARY","15.60"
"50","BENNETT 29J","770","BENNETT ELEMENTARY SCHOOL","42.40"
"50","BENNETT 29J","774","BENNETT MIDDLE SCHOOL","32.00"
"50","BENNETT 29J","775","BENNETT HIGH SCHOOL","25.50"
"50","BENNETT 29J","1889","CORRIDOR COMMUNITY ACADEMY","0.00"
"60","STRASBURG 31J","7133","PRAIRIE CREEKS CHARTER SCHOOL","50.00"
"60","STRASBURG 31J","8328","STRASBURG ELEMENTARY SCHOOL","23.70"
"60","STRASBURG 31J","8332","HEMPHILL MIDDLE SCHOOL","18.70"
"60","STRASBURG 31J","8334","STRASBURG HIGH SCHOOL","17.00"
"70","WESTMINSTER 50","1622","CLARA E. METZ ELEMENTARY SCHOOL","83.90"
"70","WESTMINSTER 50","2035","CROWN POINTE CHARTER ACADEMY","44.70"
"70","WESTMINSTER 50","2876","FAIRVIEW ELEMENTARY SCHOOL","85.00"
"70","WESTMINSTER 50","3144","FRANCIS M. DAY ELEMENTARY SCHOOL","87.80"
"70","WESTMINSTER 50","3792","HARRIS PARK ELEMENTARY SCHOOL","85.60"
"70","WESTMINSTER 50","3931","HIDDEN LAKE HIGH SCHOOL","65.50"
"70","WESTMINSTER 50","4465","JOSEPHINE HODGKINS ELEMENTARY SCHOOL","86.00"
"70","WESTMINSTER 50","5388","M. SCOTT CARPENTER MIDDLE SCHOOL","90.70"
"70","WESTMINSTER 50","5834","MESA ELEMENTARY SCHOOL","78.20"
"70","WESTMINSTER 50","7305","IVER C. RANUM MIDDLE SCHOOL","85.60"
"70","WESTMINSTER 50","7810","FLYNN ELEMENTARY SCHOOL","68.40"
"70","WESTMINSTER 50","7812","SHAW HEIGHTS MIDDLE SCHOOL","79.80"
"70","WESTMINSTER 50","7860","SHERRELWOOD ELEMENTARY SCHOOL","82.20"
"70","WESTMINSTER 50","7952","SKYLINE VISTA ELEMENTARY SCHOOL","89.20"
"70","WESTMINSTER 50","8406","SUNSET RIDGE ELEMENTARY SCHOOL","79.30"
"70","WESTMINSTER 50","8798","TENNYSON KNOLLS ELEMENTARY SCHOOL","82.40"
"70","WESTMINSTER 50","9462","WESTMINSTER ELEMENTARY SCHOOL","84.70"
"70","WESTMINSTER 50","9466","WESTMINSTER HIGH SCHOOL","73.90"
"100","ALAMOSA RE-11J","114","ORTEGA MIDDLE SCHOOL","70.90"
"100","ALAMOSA RE-11J","118","ALAMOSA HIGH SCHOOL","56.80"
"100","ALAMOSA RE-11J","119","ALAMOSA OPEN SCHOOL","59.10"
"100","ALAMOSA RE-11J","944","BOYD ELEMENTARY SCHOOL","74.80"
"100","ALAMOSA RE-11J","2402","POLSTON ELEMENTARY SCHOOL","85.50"
"100","ALAMOSA RE-11J","2818","EVANS ELEMENTARY SCHOOL","73.90"
"110","SANGRE DE CRISTO RE-22J","7626","SANGRE DE CRISTO ELEMENTARY SCHOOL","65.00"
"110","SANGRE DE CRISTO RE-22J","7630","SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL","54.70"
"120","ENGLEWOOD 1","206","COLORADOS FINEST ALTERNATIVE HIGH SCHOOL","39.00"
"120","ENGLEWOOD 1","1514","CHARLES HAY WORLD SCHOOL","44.90"
"120","ENGLEWOOD 1","1556","CHERRELYN ELEMENTARY SCHOOL","68.20"
"120","ENGLEWOOD 1","1652","CLAYTON ELEMENTARY SCHOOL","69.90"
"120","ENGLEWOOD 1","2746","ENGLEWOOD HIGH SCHOOL","42.50"
"120","ENGLEWOOD 1","2750","ENGLEWOOD LEADERSHIP ACADEMY","26.50"
"120","ENGLEWOOD 1","2752","ENGLEWOOD MIDDLE SCHOOL","63.90"
"120","ENGLEWOOD 1","9620","WM E BISHOP ELEMENTARY SCHOOL","78.30"
"123","SHERIDAN 2","138","ALICE TERRY ELEMENTARY SCHOOL","88.50"
"123","SHERIDAN 2","3054","FORT LOGAN ELEMENTARY SCHOOL","93.00"
"123","SHERIDAN 2","7837","SHERIDAN MIDDLE SCHOOL","87.60"
"123","SHERIDAN 2","7842","SHERIDAN HIGH SCHOOL","64.20"
"130","CHERRY CREEK 5","16","FOX HOLLOW ELEMENTARY SCHOOL","11.50"
"130","CHERRY CREEK 5","18","LIBERTY MIDDLE SCHOOL","19.10"
"130","CHERRY CREEK 5","141","SKY VISTA MIDDLE SCHOOL","21.40"
"130","CHERRY CREEK 5","242","ANTELOPE RIDGE ELEMENTARY SCHOOL","16.00"
"130","CHERRY CREEK 5","243","COYOTE HILLS ELEMENTARY SCHOOL","4.40"
"130","CHERRY CREEK 5","348","ARROWHEAD ELEMENTARY SCHOOL","33.90"
"130","CHERRY CREEK 5","442","ASPEN CROSSING ELEMENTARY SCHOOL","14.30"
"130","CHERRY CREEK 5","714","BELLEVIEW ELEMENTARY SCHOOL","11.20"
"130","CHERRY CREEK 5","1155","BUFFALO TRAIL ELEMENTARY SCHOOL","17.80"
"130","CHERRY CREEK 5","1273","CANYON CREEK ELEMENTARY SCHOOL","19.70"
"130","CHERRY CREEK 5","1510","CHALLENGE SCHOOL","4.50"
"130","CHERRY CREEK 5","1551","CHEROKEE TRAIL HIGH SCHOOL","15.30"
"130","CHERRY CREEK 5","1566","CAMPUS MIDDLE SCHOOL","10.90"
"130","CHERRY CREEK 5","1568","WEST MIDDLE SCHOOL","11.70"
"130","CHERRY CREEK 5","1570","CHERRY CREEK HIGH SCHOOL","8.60"
"130","CHERRY CREEK 5","1571","CHERRY CREEK CHARTER ACADEMY","0.00"
"130","CHERRY CREEK 5","1572","HIGH PLAINS ELEMENTARY SCHOOL","20.80"
"130","CHERRY CREEK 5","1574","CHERRY HILLS VILLAGE ELEMENTARY SCHOOL","5.40"
"130","CHERRY CREEK 5","1614","CIMARRON ELEMENTARY SCHOOL","51.50"
"130","CHERRY CREEK 5","1916","COTTONWOOD CREEK ELEMENTARY SCHOOL","4.30"
"130","CHERRY CREEK 5","1970","CREEKSIDE ELEMENTARY SCHOOL","7.50"
"130","CHERRY CREEK 5","2094","DAKOTA VALLEY ELEMENTARY SCHOOL","18.70"
"130","CHERRY CREEK 5","2292","DRY CREEK ELEMENTARY SCHOOL","17.20"
"130","CHERRY CREEK 5","2357","EAGLECREST HIGH SCHOOL","28.30"
"130","CHERRY CREEK 5","2428","EASTRIDGE COMMUNITY ELEMENTARY SCHOOL","67.20"
"130","CHERRY CREEK 5","2897","FALCON CREEK MIDDLE SCHOOL","20.90"
"130","CHERRY CREEK 5","3030","FOX RIDGE MIDDLE SCHOOL","11.60"
"130","CHERRY CREEK 5","3589","GRANDVIEW HIGH SCHOOL","15.30"
"130","CHERRY CREEK 5","3648","GREENWOOD ELEMENTARY SCHOOL","3.30"
"130","CHERRY CREEK 5","3926","HERITAGE ELEMENTARY SCHOOL","11.00"
"130","CHERRY CREEK 5","3988","HIGHLINE COMMUNITY ELEMENTARY SCHOOL","76.10"
"130","CHERRY CREEK 5","4062","HOLLY HILLS ELEMENTARY SCHOOL","76.80"
"130","CHERRY CREEK 5","4078","HOMESTEAD ELEMENTARY SCHOOL","6.00"
"130","CHERRY CREEK 5","4100","HORIZON MIDDLE SCHOOL","44.40"
"130","CHERRY CREEK 5","4276","INDEPENDENCE ELEMENTARY SCHOOL","49.40"
"130","CHERRY CREEK 5","4280","INDIAN RIDGE ELEMENTARY SCHOOL","9.20"
"130","CHERRY CREEK 5","4975","LAREDO MIDDLE SCHOOL","34.90"
"130","CHERRY CREEK 5","5744","MEADOW POINT ELEMENTARY SCHOOL","55.70"
"130","CHERRY CREEK 5","5934","MISSION VIEJO ELEMENTARY SCHOOL","43.10"
"130","CHERRY CREEK 5","6625","OVERLAND HIGH SCHOOL","56.90"
"130","CHERRY CREEK 5","6820","PEAKVIEW ELEMENTARY SCHOOL","20.20"
"130","CHERRY CREEK 5","6955","PINE RIDGE ELEMENTARY SCHOOL","4.80"
"130","CHERRY CREEK 5","7102","POLTON COMMUNITY ELEMENTARY SCHOOL","42.90"
"130","CHERRY CREEK 5","7116","PONDEROSA ELEMENTARY SCHOOL","65.10"
"130","CHERRY CREEK 5","7158","PRAIRIE MIDDLE SCHOOL","68.10"
"130","CHERRY CREEK 5","7277","RED HAWK RIDGE ELEMENTARY SCHOOL","36.40"
"130","CHERRY CREEK 5","7476","ROLLING HILLS ELEMENTARY SCHOOL","7.20"
"130","CHERRY CREEK 5","7559","SAGEBRUSH ELEMENTARY SCHOOL","39.90"
"130","CHERRY CREEK 5","8020","SMOKY HILL HIGH SCHOOL","27.30"
"130","CHERRY CREEK 5","8380","SUMMIT ELEMENTARY SCHOOL","38.60"
"130","CHERRY CREEK 5","8394","SUNRISE ELEMENTARY SCHOOL","39.00"
"130","CHERRY CREEK 5","8848","THUNDER RIDGE MIDDLE SCHOOL","21.20"
"130","CHERRY CREEK 5","8850","TIMBERLINE ELEMENTARY SCHOOL","21.90"
"130","CHERRY CREEK 5","8887","TRAILS WEST ELEMENTARY SCHOOL","23.40"
"130","CHERRY CREEK 5","9108","VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL","66.50"
"130","CHERRY CREEK 5","9200","WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL","16.60"
"130","CHERRY CREEK 5","9624","WILLOW CREEK ELEMENTARY SCHOOL","4.00"
"140","LITTLETON 6","298","ARAPAHOE HIGH SCHOOL","6.30"
"140","LITTLETON 6","752","FRANKLIN ELEMENTARY SCHOOL","13.20"
"140","LITTLETON 6","1382","CENTENNIAL ACADEMY OF FINE ARTS EDUCATION","53.10"
"140","LITTLETON 6","2382","EAST ELEMENTARY SCHOOL","79.90"
"140","LITTLETON 6","2804","EUCLID MIDDLE SCHOOL","27.70"
"140","LITTLETON 6","2926","FIELD ELEMENTARY SCHOOL","76.20"
"140","LITTLETON 6","3472","GODDARD MIDDLE SCHOOL","38.10"
"140","LITTLETON 6","3930","HERITAGE HIGH SCHOOL","10.70"
"140","LITTLETON 6","3950","HIGHLAND ELEMENTARY SCHOOL","21.70"
"140","LITTLETON 6","4316","NEWTON MIDDLE SCHOOL","13.30"
"140","LITTLETON 6","4447","JOHN WESLEY POWELL MIDDLE SCHOOL","10.70"
"140","LITTLETON 6","5224","LITTLETON HIGH SCHOOL","22.60"
"140","LITTLETON 6","5229","LITTLETON ACADEMY","4.30"
"140","LITTLETON 6","5233","LITTLETON PREP CHARTER SCHOOL","22.90"
"140","LITTLETON 6","5236","LOIS LENSKI ELEMENTARY SCHOOL","6.60"
"140","LITTLETON 6","5572","HOPKINS ELEMENTARY SCHOOL","30.50"
"140","LITTLETON 6","5574","TWAIN ELEMENTARY SCHOOL","15.70"
"140","LITTLETON 6","6814","PEABODY ELEMENTARY SCHOOL","22.10"
"140","LITTLETON 6","7518","RUNYON ELEMENTARY SCHOOL","11.70"
"140","LITTLETON 6","7606","SANDBURG ELEMENTARY SCHOOL","8.00"
"140","LITTLETON 6","8064","MOODY ELEMENTARY SCHOOL","46.00"
"140","LITTLETON 6","9600","WILDER ELEMENTARY SCHOOL","6.40"
"170","DEER TRAIL 26J","2136","DEER TRAIL ELEMENTARY SCHOOL","55.60"
"170","DEER TRAIL 26J","2140","DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL","34.80"
"180","ADAMS-ARAPAHOE 28J","213","AXL ACADEMY","51.90"
"180","ADAMS-ARAPAHOE 28J","214","ALTURA ELEMENTARY SCHOOL","96.50"
"180","ADAMS-ARAPAHOE 28J","219","APS ONLINE SCHOOL","41.40"
"180","ADAMS-ARAPAHOE 28J","310","ARKANSAS ELEMENTARY SCHOOL","60.90"
"180","ADAMS-ARAPAHOE 28J","458","AURORA ACADEMY CHARTER SCHOOL","36.80"
"180","ADAMS-ARAPAHOE 28J","464","AURORA HILLS MIDDLE SCHOOL","74.40"
"180","ADAMS-ARAPAHOE 28J","465","AURORA FRONTIER K-8","29.30"
"180","ADAMS-ARAPAHOE 28J","914","BOSTON K-8 SCHOOL","91.10"
"180","ADAMS-ARAPAHOE 28J","1458","AURORA CENTRAL HIGH SCHOOL","72.40"
"180","ADAMS-ARAPAHOE 28J","1470","CENTURY ELEMENTARY SCHOOL","68.30"
"180","ADAMS-ARAPAHOE 28J","1720","CLYDE MILLER K-8","70.40"
"180","ADAMS-ARAPAHOE 28J","1800","COLUMBIA MIDDLE SCHOOL","54.00"
"180","ADAMS-ARAPAHOE 28J","1948","CRAWFORD ELEMENTARY SCHOOL","89.40"
"180","ADAMS-ARAPAHOE 28J","2095","DALTON ELEMENTARY SCHOOL","52.00"
"180","ADAMS-ARAPAHOE 28J","2114","DARTMOUTH ELEMENTARY SCHOOL","57.40"
"180","ADAMS-ARAPAHOE 28J","2384","EAST MIDDLE SCHOOL","87.10"
"180","ADAMS-ARAPAHOE 28J","2618","ELKHART ELEMENTARY SCHOOL","94.60"
"180","ADAMS-ARAPAHOE 28J","2995","FLETCHER INTERMEDIATE SCIENCE  and  TECHNOLOGY SCHOOL","89.90"
"180","ADAMS-ARAPAHOE 28J","2998","FLETCHER PRIMARY SCHOOL","92.70"
"180","ADAMS-ARAPAHOE 28J","3272","FULTON ELEMENTARY SCHOOL","91.60"
"180","ADAMS-ARAPAHOE 28J","3354","GATEWAY HIGH SCHOOL","56.50"
"180","ADAMS-ARAPAHOE 28J","3471","GLOBAL VILLAGE ACADEMY","48.70"
"180","ADAMS-ARAPAHOE 28J","4024","HINKLEY HIGH SCHOOL","67.60"
"180","ADAMS-ARAPAHOE 28J","4270","IOWA ELEMENTARY SCHOOL","73.00"
"180","ADAMS-ARAPAHOE 28J","4426","JEWELL ELEMENTARY SCHOOL","70.10"
"180","ADAMS-ARAPAHOE 28J","4646","KENTON ELEMENTARY SCHOOL","87.90"
"180","ADAMS-ARAPAHOE 28J","4970","LANSING ELEMENTARY SCHOOL","84.70"
"180","ADAMS-ARAPAHOE 28J","4973","LAREDO ELEMENTARY SCHOOL","87.50"
"180","ADAMS-ARAPAHOE 28J","5298","LOTUS SCHOOL FOR EXCELLENCE","59.80"
"180","ADAMS-ARAPAHOE 28J","5361","LYN KNOLL ELEMENTARY SCHOOL","88.90"
"180","ADAMS-ARAPAHOE 28J","6068","MONTVIEW MATH  and  HEALTH SCIENCES ELEMENTARY SCHOOL","92.60"
"180","ADAMS-ARAPAHOE 28J","6160","MRACHEK MIDDLE SCHOOL","62.50"
"180","ADAMS-ARAPAHOE 28J","6189","MURPHY CREEK K-8 SCHOOL","36.20"
"180","ADAMS-ARAPAHOE 28J","6219","NEW AMERICA SCHOOL","77.50"
"180","ADAMS-ARAPAHOE 28J","6310","NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS","87.30"
"180","ADAMS-ARAPAHOE 28J","6546","OPTIONS SCHOOL","0.20"
"180","ADAMS-ARAPAHOE 28J","6728","PARIS ELEMENTARY SCHOOL","95.00"
"180","ADAMS-ARAPAHOE 28J","6758","PARK LANE ELEMENTARY SCHOOL","89.70"
"180","ADAMS-ARAPAHOE 28J","6869","PEORIA ELEMENTARY SCHOOL","83.80"
"180","ADAMS-ARAPAHOE 28J","7232","AURORA QUEST K-8","22.60"
"180","ADAMS-ARAPAHOE 28J","7250","RANGEVIEW HIGH SCHOOL","39.30"
"180","ADAMS-ARAPAHOE 28J","7558","SABLE ELEMENTARY SCHOOL","86.40"
"180","ADAMS-ARAPAHOE 28J","7865","SIDE CREEK ELEMENTARY SCHOOL","44.90"
"180","ADAMS-ARAPAHOE 28J","7932","SIXTH AVENUE ELEMENTARY SCHOOL","89.20"
"180","ADAMS-ARAPAHOE 28J","8078","SOUTH MIDDLE SCHOOL","89.30"
"180","ADAMS-ARAPAHOE 28J","8356","WILLIAM SMITH HIGH SCHOOL","48.70"
"180","ADAMS-ARAPAHOE 28J","8858","TOLLGATE ELEMENTARY SCHOOL","81.50"
"180","ADAMS-ARAPAHOE 28J","9056","VANGUARD CLASSICAL SCHOOL","55.50"
"180","ADAMS-ARAPAHOE 28J","9059","VASSAR ELEMENTARY SCHOOL","59.30"
"180","ADAMS-ARAPAHOE 28J","9060","VAUGHN ELEMENTARY SCHOOL","85.90"
"180","ADAMS-ARAPAHOE 28J","9083","VISTA PEAK P-8 EXPLORATORY","48.80"
"180","ADAMS-ARAPAHOE 28J","9140","VIRGINIA COURT ELEMENTARY SCHOOL","85.00"
"180","ADAMS-ARAPAHOE 28J","9396","AURORA WEST COLLEGE PREPARATORY ACADEMY","94.70"
"180","ADAMS-ARAPAHOE 28J","9514","WHEELING ELEMENTARY SCHOOL","81.90"
"180","ADAMS-ARAPAHOE 28J","9756","YALE ELEMENTARY SCHOOL","69.90"
"190","BYERS 32J","1168","BYERS ELEMENTARY SCHOOL","43.60"
"190","BYERS 32J","1176","BYERS JUNIOR-SENIOR HIGH SCHOOL","34.40"
"220","ARCHULETA COUNTY 50 JT","64","ARCHULETA COUNTY HIGH SCHOOL","56.50"
"220","ARCHULETA COUNTY 50 JT","6652","PAGOSA SPRINGS ELEMENTARY SCHOOL","54.30"
"220","ARCHULETA COUNTY 50 JT","6657","PAGOSA SPRINGS MIDDLE SCHOOL","54.70"
"220","ARCHULETA COUNTY 50 JT","6658","PAGOSA SPRINGS HIGH SCHOOL","44.10"
"230","WALSH RE-1","9222","WALSH ELEMENTARY SCHOOL","56.30"
"230","WALSH RE-1","9226","WALSH HIGH SCHOOL","34.10"
"240","PRITCHETT RE-3","7174","PRITCHETT ELEMENTARY SCHOOL","64.00"
"240","PRITCHETT RE-3","7176","PRITCHETT MIDDLE SCHOOL","62.50"
"240","PRITCHETT RE-3","7180","PRITCHETT HIGH SCHOOL","63.20"
"250","SPRINGFIELD RE-4","8160","SPRINGFIELD ELEMENTARY SCHOOL","65.80"
"250","SPRINGFIELD RE-4","8164","SPRINGFIELD JUNIOR HIGH SCHOOL","56.40"
"250","SPRINGFIELD RE-4","8168","SPRINGFIELD HIGH SCHOOL","54.50"
"260","VILAS RE-5","9085","V.I.L.A.S. ONLINE SCHOOL","54.00"
